student_id,state,category,gender,quota,12th_percentage,entrance_score,effective_score,extracurriculars,preferences_count,assigned_college,admission_chance
S0071,Delhi,GEN,Female,None,82.77,218,218,3,8,State Tech University,0.677
S0072,Rajasthan,OBC,Female,None,83.24,218,218,3,6,NIT Example,0.607
S0073,Delhi,GEN,Male,None,69.16,185,185,2,6,State Tech University,0.527
S0074,Gujarat,GEN,Female,TFW,67.93,197,197,0,8,State Tech University,0.582
S0075,Karnataka,OBC,Male,None,86.42,261,261,4,9,IIT Example,0.773
S0076,Gujarat,GEN,Male,None,83.97,233,233,3,9,NIT Example,0.675
S0077,Rajasthan,OBC,Female,None,81.57,207,207,4,7,State Tech University,0.627
S0078,Rajasthan,OBC,Male,None,75.15,218,218,3,9,NIT Example,0.607
S0079,Gujarat,OBC,Male,None,71.75,171,171,5,10,State Tech University,0.464
S0080,Tamil Nadu,OBC,Male,None,89.46,202,202,3,8,State Tech University,0.605
S0081,Karnataka,SC,Female,None,66.61,172,172,3,6,State Tech University,0.468
S0082,Uttar Pradesh,GEN,Male,Defence,82.37,248,258,0,4,NIT Example,0.789
S0083,Haryana,GEN,Female,None,77.94,189,189,0,9,State Tech University,0.545
S0084,Haryana,GEN,Male,None,81.71,234,234,0,4,NIT Example,0.68
S0085,Rajasthan,GEN,Female,None,57.62,114,114,5,10,Community College,0.555
S0086,Maharashtra,OBC,Female,None,78.73,241,241,2,5,NIT Example,0.712
S0087,Haryana,OBC,Other,None,71.37,185,185,1,10,State Tech University,0.527
S0088,Rajasthan,SC,Female,NRI,90.25,253,213,3,10,NIT Example,0.585
S0089,Haryana,GEN,Male,None,70.88,195,195,1,10,State Tech University,0.573
S0090,Uttar Pradesh,GEN,Male,None,75.84,221,221,1,7,NIT Example,0.621
S0091,Gujarat,GEN,Female,None,80.68,211,211,3,6,State Tech University,0.645
S0092,Rajasthan,OBC,Female,None,89.4,277,277,1,9,IIT Example,0.845
S0093,Gujarat,OBC,Male,None,73.67,215,215,2,9,NIT Example,0.594
S0094,Rajasthan,ST,Female,None,49.51,115,115,1,9,Local Government College,0.409
S0095,Haryana,GEN,Male,None,79.1,252,252,3,9,NIT Example,0.762
S0096,Uttar Pradesh,OBC,Male,None,59.16,199,199,2,9,State Tech University,0.591
S0097,Gujarat,OBC,Female,None,74.12,185,185,2,10,State Tech University,0.527
S0098,Tamil Nadu,EWS,Female,TFW,54.44,175,175,4,3,State Tech University,0.482
S0099,Karnataka,OBC,Male,None,73.7,190,190,8,3,State Tech University,0.55
S0100,Delhi,GEN,Male,None,62.19,158,158,2,9,Regional Engineering College,0.475
S0101,Delhi,SC,Female,None,87.73,266,266,1,4,IIT Example,0.795
S0102,Haryana,GEN,Female,Defence,77.91,253,263,4,8,IIT Example,0.782
S0103,Uttar Pradesh,OBC,Female,None,72.01,211,211,0,3,NIT Example,0.575
S0104,Uttar Pradesh,GEN,Male,None,92.87,263,263,1,5,IIT Example,0.782
S0105,Haryana,OBC,Female,None,54.23,177,177,3,7,State Tech University,0.491
S0106,Gujarat,GEN,Female,None,69.16,213,213,3,4,State Tech University,0.655
S0107,Tamil Nadu,EWS,Male,None,74.82,214,214,1,7,NIT Example,0.589
S0108,Rajasthan,GEN,Female,None,74.93,204,204,2,6,State Tech University,0.614
S0109,Karnataka,OBC,Male,None,79.4,182,182,1,4,State Tech University,0.514
S0110,Maharashtra,GEN,Male,None,74.25,216,216,1,8,State Tech University,0.668
S0111,Maharashtra,SC,Female,None,68.64,158,158,1,8,Regional Engineering College,0.475
S0112,Haryana,OBC,Male,None,73.72,165,165,1,7,Regional Engineering College,0.506
S0113,Haryana,OBC,Female,None,98.58,257,257,0,8,IIT Example,0.755
S0114,Uttar Pradesh,SC,Male,NRI,81.18,241,201,0,6,NIT Example,0.53
S0115,Haryana,OBC,Female,None,73.65,185,185,2,10,State Tech University,0.527
S0116,Gujarat,GEN,Male,None,68.43,147,147,2,8,Local Government College,0.555
S0117,Delhi,ST,Female,None,94.74,240,240,0,3,IIT Example,0.677
S0118,Uttar Pradesh,GEN,Female,None,85.22,196,196,3,6,State Tech University,0.577
S0119,Haryana,OBC,Female,None,93.29,181,181,1,4,State Tech University,0.509
S0120,Delhi,GEN,Female,None,72.76,187,187,1,8,State Tech University,0.536
S0121,Haryana,OBC,Male,Defence,65.72,162,172,5,8,State Tech University,0.468
S0122,Gujarat,OBC,Male,None,99.0,282,282,2,4,IIT Example,0.868
S0123,Uttar Pradesh,GEN,Female,TFW,64.49,133,133,2,5,Local Government College,0.491
S0124,Uttar Pradesh,GEN,Female,None,75.33,199,199,1,7,State Tech University,0.591
S0125,Karnataka,SC,Male,None,69.5,165,165,1,7,State Tech University,0.436
S0126,Maharashtra,OBC,Male,None,65.06,155,155,1,3,Regional Engineering College,0.461
S0127,Delhi,OBC,Male,NRI,44.97,134,94,1,10,Community College,0.464
S0128,Karnataka,ST,Female,None,79.68,205,205,3,10,NIT Example,0.548
S0129,Gujarat,GEN,Male,TFW,81.34,216,216,2,10,State Tech University,0.668
S0130,Karnataka,SC,Male,None,67.05,188,188,2,3,State Tech University,0.541
S0131,Tamil Nadu,GEN,Female,None,69.5,173,173,2,6,Regional Engineering College,0.543
S0132,Karnataka,OBC,Male,None,74.21,162,162,1,6,Regional Engineering College,0.493
S0133,Rajasthan,OBC,Male,NRI,64.68,158,118,0,9,Local Government College,0.423
S0134,Delhi,OBC,Male,Defence,67.78,195,205,4,4,State Tech University,0.618
S0135,Uttar Pradesh,OBC,Male,None,81.92,207,207,2,6,State Tech University,0.627
S0136,Tamil Nadu,OBC,Male,None,77.04,202,202,1,10,State Tech University,0.605
S0137,Delhi,GEN,Male,None,80.86,249,249,1,10,NIT Example,0.748
S0138,Karnataka,OBC,Female,None,67.87,191,191,1,6,State Tech University,0.555
S0139,Rajasthan,GEN,Male,None,81.52,237,237,3,7,NIT Example,0.694
S0140,Tamil Nadu,GEN,Male,None,72.0,219,219,2,7,State Tech University,0.682
S0141,Haryana,GEN,Female,None,75.22,237,237,2,7,NIT Example,0.694
S0142,Haryana,GEN,Female,NRI,85.71,225,185,1,8,State Tech University,0.527
S0143,Delhi,GEN,Male,None,76.98,214,214,1,3,State Tech University,0.659
S0144,Delhi,OBC,Female,None,81.11,242,242,3,10,NIT Example,0.716
S0145,Delhi,GEN,Female,None,61.9,140,140,1,10,Local Government College,0.523
S0146,Karnataka,OBC,Male,None,93.12,252,252,3,4,IIT Example,0.732
S0147,Tamil Nadu,GEN,Female,None,90.44,224,224,1,9,NIT Example,0.635
S0148,Maharashtra,OBC,Male,None,86.57,249,249,3,9,NIT Example,0.748
S0149,Maharashtra,OBC,Female,None,62.3,149,149,3,6,Regional Engineering College,0.434
S0150,Gujarat,OBC,Female,None,77.17,266,266,1,3,IIT Example,0.795
S0151,Uttar Pradesh,GEN,Male,None,96.39,265,265,2,10,IIT Example,0.791
S0152,Karnataka,GEN,Female,None,97.58,287,287,4,5,IIT Example,0.891
S0153,Delhi,OBC,Female,None,99.0,270,270,1,4,IIT Example,0.814
S0154,Haryana,EWS,Female,None,87.85,213,213,0,7,NIT Example,0.585
S0155,Delhi,GEN,Female,None,62.85,122,122,3,10,Local Government College,0.441
S0156,Tamil Nadu,GEN,Female,None,70.97,226,226,1,5,NIT Example,0.644
S0157,Karnataka,GEN,Female,None,72.05,180,180,3,7,State Tech University,0.505
S0158,Maharashtra,GEN,Male,None,97.19,280,280,0,10,IIT Example,0.859
S0159,Tamil Nadu,GEN,Female,None,62.79,176,176,2,9,Regional Engineering College,0.556
S0160,Haryana,ST,Female,Defence,99.0,258,268,0,6,IIT Example,0.805
S0161,Rajasthan,GEN,Female,None,65.61,187,187,2,10,State Tech University,0.536
S0162,Rajasthan,GEN,Female,None,74.61,180,180,1,5,State Tech University,0.505
S0163,Haryana,EWS,Male,Defence,71.94,224,234,2,8,NIT Example,0.68
S0164,Karnataka,ST,Male,None,60.87,163,163,3,10,State Tech University,0.427
S0165,Maharashtra,SC,Male,None,85.0,187,187,1,5,State Tech University,0.536
S0166,Karnataka,OBC,Female,None,80.82,190,190,1,9,State Tech University,0.55
S0167,Karnataka,SC,Female,NRI,66.55,154,114,1,9,Local Government College,0.405
S0168,Gujarat,OBC,Female,None,76.18,194,194,1,3,State Tech University,0.568
S0169,Karnataka,GEN,Female,None,70.79,178,178,3,6,Regional Engineering College,0.565
S0170,Karnataka,GEN,Male,None,94.76,221,221,1,4,NIT Example,0.621
S0171,Haryana,GEN,Male,None,54.96,187,187,3,8,State Tech University,0.536
S0172,Maharashtra,GEN,Male,None,90.79,192,192,2,9,State Tech University,0.559
S0173,Tamil Nadu,GEN,Male,NRI,50.02,172,132,3,6,Local Government College,0.486
S0174,Haryana,ST,Male,None,74.55,221,221,3,7,NIT Example,0.621
S0175,Haryana,GEN,Male,None,78.69,161,161,2,7,Regional Engineering College,0.488
S0176,Tamil Nadu,GEN,Female,Defence,59.54,157,167,1,7,Regional Engineering College,0.515
S0177,Rajasthan,OBC,Male,None,55.44,157,157,3,9,Regional Engineering College,0.47
S0178,Haryana,GEN,Male,None,94.45,284,284,1,7,IIT Example,0.877
S0179,Delhi,GEN,Female,None,73.1,210,210,2,3,State Tech University,0.641
S0180,Maharashtra,ST,Female,None,81.21,193,193,0,7,State Tech University,0.564
S0181,Uttar Pradesh,OBC,Male,None,57.79,164,164,1,7,Regional Engineering College,0.502
S0182,Tamil Nadu,OBC,Female,None,91.1,214,214,2,7,NIT Example,0.589
S0183,Haryana,GEN,Male,None,80.92,215,215,2,7,State Tech University,0.664
S0184,Gujarat,SC,Male,None,82.29,175,175,0,8,State Tech University,0.482
S0185,Delhi,SC,Male,None,99.0,254,254,2,10,IIT Example,0.741
S0186,Delhi,SC,Male,None,77.16,192,192,3,4,State Tech University,0.559
S0187,Tamil Nadu,SC,Male,None,81.0,223,223,2,9,NIT Example,0.63
S0188,Gujarat,GEN,Male,None,66.27,166,166,1,4,Regional Engineering College,0.511
S0189,Haryana,GEN,Female,None,74.11,208,208,1,9,State Tech University,0.632
S0190,Gujarat,GEN,Male,None,79.56,222,222,4,8,NIT Example,0.625
S0191,Uttar Pradesh,OBC,Female,None,56.68,145,145,2,7,Regional Engineering College,0.415
S0192,Rajasthan,GEN,Male,None,80.16,213,213,1,10,State Tech University,0.655
S0193,Karnataka,GEN,Female,None,62.03,187,187,6,10,State Tech University,0.536
S0194,Gujarat,OBC,Female,TFW,58.14,163,163,0,9,Regional Engineering College,0.497
S0195,Tamil Nadu,ST,Female,None,77.67,189,189,2,9,State Tech University,0.545
S0196,Delhi,GEN,Male,None,79.95,159,159,4,6,Regional Engineering College,0.479
S0197,Gujarat,GEN,Female,None,75.99,224,224,5,8,NIT Example,0.635
S0198,Maharashtra,GEN,Male,None,99.0,248,248,4,10,NIT Example,0.744
S0199,Karnataka,OBC,Female,None,64.53,187,187,0,3,State Tech University,0.536
S0200,Maharashtra,SC,Male,None,58.87,130,130,1,6,Regional Engineering College,0.347
S0201,Karnataka,SC,Female,None,74.58,199,199,2,6,State Tech University,0.591
S0202,Gujarat,SC,Female,None,73.01,169,169,4,7,State Tech University,0.455
S0203,Tamil Nadu,EWS,Female,None,77.0,212,212,2,4,NIT Example,0.58
S0204,Maharashtra,GEN,Male,None,68.79,163,163,2,8,Regional Engineering College,0.497
S0205,Maharashtra,GEN,Male,None,92.05,225,225,1,4,NIT Example,0.639
S0206,Karnataka,OBC,Female,None,68.37,193,193,1,4,State Tech University,0.564
S0207,Haryana,OBC,Female,None,93.57,288,288,0,7,IIT Example,0.895
S0208,Haryana,OBC,Male,Defence,70.65,198,208,0,9,State Tech University,0.632
S0209,Rajasthan,OBC,Female,TFW,78.43,212,212,2,4,NIT Example,0.58
S0210,Karnataka,GEN,Male,None,54.02,109,109,2,8,Community College,0.532
S0211,Rajasthan,EWS,Female,None,68.79,184,184,3,9,State Tech University,0.523
S0212,Karnataka,SC,Male,None,69.13,205,205,2,6,NIT Example,0.548
S0213,Rajasthan,OBC,Male,None,77.88,210,210,7,10,NIT Example,0.571
S0214,Rajasthan,GEN,Male,None,67.21,186,186,2,7,State Tech University,0.532
S0215,Gujarat,EWS,Female,None,72.99,193,193,2,4,State Tech University,0.564
S0216,Karnataka,GEN,Male,None,80.02,218,218,1,5,State Tech University,0.677
S0217,Maharashtra,OBC,Female,None,84.81,183,183,3,4,State Tech University,0.518
S0218,Rajasthan,GEN,Female,None,92.94,246,246,0,3,NIT Example,0.735
S0219,Delhi,OBC,Male,None,77.99,242,242,4,6,NIT Example,0.716
S0220,Tamil Nadu,OBC,Male,None,77.11,210,210,0,8,NIT Example,0.571
S0221,Karnataka,SC,Female,None,87.88,202,202,0,3,NIT Example,0.535
S0222,Delhi,GEN,Male,None,53.28,162,162,1,8,Regional Engineering College,0.493
S0223,Gujarat,GEN,Female,None,79.41,193,193,0,9,State Tech University,0.564
S0224,Karnataka,GEN,Female,None,93.79,242,242,2,6,NIT Example,0.716
S0225,Rajasthan,GEN,Male,None,60.24,152,152,2,8,Regional Engineering College,0.447
S0226,Karnataka,ST,Male,None,77.93,188,188,3,3,State Tech University,0.541
S0227,Karnataka,GEN,Female,None,82.8,212,212,2,10,State Tech University,0.65
S0228,Rajasthan,GEN,Female,None,85.77,217,217,1,9,State Tech University,0.673
S0229,Karnataka,GEN,Female,None,75.89,191,191,4,7,State Tech University,0.555
S0230,Maharashtra,GEN,Other,None,79.11,217,217,4,6,State Tech University,0.673
S0231,Delhi,EWS,Female,None,89.99,246,246,1,7,NIT Example,0.735
S0232,Gujarat,GEN,Female,None,79.5,187,187,1,5,State Tech University,0.536
S0233,Rajasthan,OBC,Male,None,66.11,171,171,2,8,State Tech University,0.464
S0234,Karnataka,GEN,Female,None,69.65,133,133,0,10,Local Government College,0.491
S0235,Karnataka,SC,Female,None,72.92,172,172,2,9,State Tech University,0.468
S0236,Delhi,GEN,Male,None,84.43,230,230,1,10,NIT Example,0.662
S0237,Gujarat,GEN,Female,None,63.4,163,163,2,9,Regional Engineering College,0.497
S0238,Karnataka,GEN,Male,None,99.0,256,256,2,8,NIT Example,0.78
S0239,Tamil Nadu,GEN,Female,None,77.5,150,150,0,6,Regional Engineering College,0.438
S0240,Gujarat,GEN,Female,None,71.77,184,184,0,5,State Tech University,0.523
S0241,Uttar Pradesh,GEN,Male,None,62.98,156,156,3,5,Regional Engineering College,0.465
S0242,Karnataka,GEN,Female,None,91.79,261,261,0,10,IIT Example,0.773
S0243,Gujarat,SC,Female,None,96.74,260,260,5,4,IIT Example,0.768
S0244,Haryana,GEN,Male,None,76.37,222,222,3,3,NIT Example,0.625
S0245,Gujarat,OBC,Male,None,70.57,188,188,0,3,State Tech University,0.541
S0246,Gujarat,SC,Male,NRI,67.18,162,122,3,4,Local Government College,0.441
S0247,Rajasthan,OBC,Female,None,81.27,196,196,3,3,State Tech University,0.577
S0248,Haryana,ST,Female,None,75.46,199,199,2,10,NIT Example,0.521
S0249,Tamil Nadu,EWS,Male,None,88.09,226,226,3,8,NIT Example,0.644
S0250,Karnataka,OBC,Male,None,56.26,196,196,4,10,State Tech University,0.577
S0251,Haryana,OBC,Female,None,82.83,175,175,2,7,State Tech University,0.482
S0252,Rajasthan,GEN,Male,None,91.52,257,257,0,8,NIT Example,0.785
S0253,Karnataka,GEN,Female,None,80.93,216,216,1,7,State Tech University,0.668
S0254,Tamil Nadu,GEN,Female,None,74.69,223,223,2,8,NIT Example,0.63
S0255,Delhi,EWS,Female,None,48.19,131,131,1,4,Local Government College,0.482
S0256,Delhi,OBC,Female,None,79.49,204,204,2,5,State Tech University,0.614
S0257,Karnataka,OBC,Male,None,69.39,189,189,2,8,State Tech University,0.545
S0258,Delhi,GEN,Male,TFW,49.86,135,135,2,10,Local Government College,0.5
S0259,Uttar Pradesh,GEN,Male,None,93.01,263,263,1,4,IIT Example,0.782
S0260,Maharashtra,OBC,Female,None,71.14,236,236,4,9,NIT Example,0.689
S0261,Tamil Nadu,GEN,Female,None,71.08,171,171,0,5,Regional Engineering College,0.534
S0262,Haryana,GEN,Male,None,83.73,218,218,0,10,State Tech University,0.677
S0263,Delhi,SC,Female,None,73.43,165,165,3,6,State Tech University,0.436
S0264,Delhi,EWS,Female,TFW,76.67,210,210,3,6,State Tech University,0.641
S0265,Gujarat,OBC,Female,None,64.55,177,177,0,7,State Tech University,0.491
S0266,Rajasthan,OBC,Male,None,88.3,203,203,2,6,State Tech University,0.609
S0267,Tamil Nadu,ST,Male,None,78.32,187,187,2,8,State Tech University,0.536
S0268,Karnataka,OBC,Female,None,85.44,234,234,5,4,NIT Example,0.68
S0269,Tamil Nadu,GEN,Female,None,88.27,259,259,2,9,NIT Example,0.794
S0270,Karnataka,EWS,Male,None,65.74,178,178,2,8,State Tech University,0.495
S0271,Maharashtra,GEN,Male,None,74.23,201,201,5,9,State Tech University,0.6
S0272,Karnataka,GEN,Male,TFW,89.27,201,201,5,8,State Tech University,0.6
S0273,Tamil Nadu,GEN,Male,None,72.92,189,189,1,5,State Tech University,0.545
S0274,Haryana,GEN,Male,None,94.13,223,223,2,7,NIT Example,0.63
S0275,Uttar Pradesh,SC,Female,None,59.48,139,139,0,9,Regional Engineering College,0.388
S0276,Karnataka,SC,Male,None,94.7,271,271,2,6,IIT Example,0.818
S0277,Rajasthan,OBC,Female,None,75.71,224,224,1,10,NIT Example,0.635
S0278,Maharashtra,OBC,Female,None,61.12,120,120,2,7,Local Government College,0.432
S0279,Rajasthan,GEN,Male,None,91.61,252,252,3,5,NIT Example,0.762
S0280,Karnataka,OBC,Male,TFW,84.11,225,225,2,3,NIT Example,0.639
S0281,Rajasthan,ST,Male,None,72.73,202,202,0,8,NIT Example,0.535
S0282,Delhi,SC,Male,None,54.68,139,139,1,6,Regional Engineering College,0.388
S0283,Karnataka,SC,Female,None,77.16,235,235,3,3,NIT Example,0.685
S0284,Gujarat,OBC,Female,None,63.21,158,158,1,10,Regional Engineering College,0.475
S0285,Haryana,OBC,Female,None,76.26,164,164,1,10,Regional Engineering College,0.502
S0286,Maharashtra,GEN,Male,None,55.88,156,156,4,3,Regional Engineering College,0.465
S0287,Gujarat,ST,Female,Defence,80.66,213,223,3,10,NIT Example,0.63
S0288,Delhi,GEN,Female,None,81.0,178,178,3,3,Regional Engineering College,0.565
S0289,Gujarat,GEN,Female,None,83.97,200,200,2,9,State Tech University,0.595
S0290,Haryana,ST,Male,Defence,66.92,180,190,3,10,State Tech University,0.55
S0291,Haryana,GEN,Female,None,82.61,225,225,1,4,NIT Example,0.639
S0292,Rajasthan,GEN,Female,None,75.53,192,192,2,7,State Tech University,0.559
S0293,Gujarat,GEN,Male,None,92.51,198,198,2,10,State Tech University,0.586
S0294,Rajasthan,GEN,Male,None,65.36,210,210,4,8,State Tech University,0.641
S0295,Rajasthan,GEN,Other,TFW,78.63,191,191,2,4,State Tech University,0.555
S0296,Rajasthan,GEN,Female,None,68.02,151,151,1,3,Regional Engineering College,0.443
S0297,Tamil Nadu,SC,Female,None,75.41,176,176,0,5,State Tech University,0.486
S0298,Karnataka,GEN,Female,None,67.54,193,193,4,3,State Tech University,0.564
S0299,Tamil Nadu,OBC,Female,None,89.73,203,203,4,4,State Tech University,0.609
S0300,Tamil Nadu,OBC,Male,None,76.16,180,180,2,6,State Tech University,0.505
S0301,Karnataka,GEN,Male,None,77.03,164,164,0,4,Regional Engineering College,0.502
S0302,Delhi,SC,Female,None,94.0,236,236,4,7,NIT Example,0.689
S0303,Haryana,GEN,Male,None,61.89,153,153,6,5,Regional Engineering College,0.452
S0304,Haryana,EWS,Female,Defence,68.67,187,197,3,8,State Tech University,0.582
S0305,Gujarat,OBC,Female,None,62.15,139,139,1,7,Local Government College,0.518
S0306,Tamil Nadu,OBC,Female,None,76.05,215,215,1,8,NIT Example,0.594
S0307,Uttar Pradesh,GEN,Male,None,99.0,229,229,5,10,NIT Example,0.657
S0308,Maharashtra,GEN,Female,None,69.74,210,210,5,5,State Tech University,0.641
S0309,Karnataka,GEN,Male,None,60.75,149,149,4,10,Local Government College,0.564
S0310,Rajasthan,SC,Female,None,74.7,214,214,2,8,NIT Example,0.589
S0311,Karnataka,GEN,Female,None,44.69,117,117,1,5,Community College,0.568
S0312,Tamil Nadu,GEN,Female,None,81.09,212,212,1,4,State Tech University,0.65
S0313,Tamil Nadu,GEN,Male,TFW,40.34,112,112,0,6,Community College,0.545
S0314,Gujarat,EWS,Female,None,60.48,172,172,2,4,State Tech University,0.468
S0315,Delhi,GEN,Female,None,66.74,171,171,1,7,Regional Engineering College,0.534
S0316,Karnataka,OBC,Male,TFW,68.24,167,167,0,5,Regional Engineering College,0.515
S0317,Tamil Nadu,OBC,Female,None,67.64,168,168,1,3,Regional Engineering College,0.52
S0318,Maharashtra,GEN,Female,None,76.93,200,200,3,7,State Tech University,0.595
S0319,Uttar Pradesh,SC,Male,None,44.35,138,138,0,10,Regional Engineering College,0.384
S0320,Delhi,OBC,Male,None,73.46,215,215,1,9,NIT Example,0.594
S0321,Delhi,OBC,Female,None,89.49,224,224,2,9,NIT Example,0.635
S0322,Haryana,OBC,Male,None,68.08,112,112,0,8,Local Government College,0.395
S0323,Gujarat,EWS,Male,None,85.36,202,202,1,4,State Tech University,0.605
S0324,Gujarat,GEN,Male,None,63.07,163,163,3,5,Regional Engineering College,0.497
S0325,Karnataka,GEN,Female,NRI,60.68,156,116,2,9,Community College,0.564
S0326,Uttar Pradesh,EWS,Female,None,58.54,111,111,5,8,Community College,0.541
S0327,Uttar Pradesh,SC,Female,None,67.73,221,221,2,10,NIT Example,0.621
S0328,Delhi,OBC,Male,None,73.94,215,215,5,10,NIT Example,0.594
